,npi,nppes_provider_last_name,nppes_provider_first_name,nppes_provider_zip_code,town,nppes_provider_state,specialty_description,total_claim_count,opioid_claim_count,opioid_prescribing_rate,long-acting_opioid_claim_count,year
0,1003002312,hopkins,patricia,02169,quincy,MA,rheumatology,4634,593.0,12.8,106.0,2016
1,1003083270,kabadi,mitesh,02169,quincy,MA,cardiovascular disease (cardiology),1147,0.0,0.0,0.0,2016
2,1003291121,blair,meghan,02169,quincy,MA,nurse practitioner,888,0.0,0.0,0.0,2016
3,1003834433,nair,anil,02169,quincy,MA,neurology,1096,14.0,1.28,0.0,2016
4,1003895269,angelini,domenic,02169,quincy,MA,dentist,26,0.0,0.0,0.0,2016
5,1003992397,carolan,patricia,02169,quincy,MA,dentist,50,0.0,0.0,0.0,2016
6,1023007358,kenny,brian,02169,quincy,MA,internal medicine,7643,114.0,1.49,25.0,2016
7,1023022662,sampson,ellen,02169,quincy,MA,nurse practitioner,3992,0.0,0.0,0.0,2016
8,1023038643,kaplan,della,02169,quincy,MA,certified clinical nurse specialist,8574,,,,2016
9,1023074366,moss,martha,02169,quincy,MA,internal medicine,4540,148.0,3.26,33.0,2016
10,1023174950,gilani,ahmed,02169,quincy,MA,internal medicine,11885,23.0,0.19,,2016
11,1033297049,wu- young,yean,02169,quincy,MA,dentist,43,,,0.0,2016
12,1033470117,nankin,barbara,02169,quincy,MA,dentist,11,0.0,0.0,0.0,2016
13,1033519772,kaur,sukhjinder,02169,quincy,MA,dentist,36,,,0.0,2016
14,1033528195,shahbazian,cameron,02169,quincy,MA,dentist,18,,,0.0,2016
15,1043200983,bobruff,martha,02169,quincy,MA,psychiatry & neurology,25,0.0,0.0,0.0,2016
16,1043212541,samaha,fouad,02169,quincy,MA,plastic surgery,22,,,0.0,2016
17,1043229768,young,peter,02169,quincy,MA,dermatology,233,0.0,0.0,0.0,2016
18,1053377945,matfis,steven,02169,quincy,MA,internal medicine,4751,127.0,2.67,,2016
19,1063400349,dewire,peter,02169,quincy,MA,orthopedic surgery,161,76.0,47.2,0.0,2016
20,1063691715,bassett,andrew,02169,quincy,MA,nurse practitioner,255,,,,2016
21,1063879377,al timimi,roua,02169,quincy,MA,dentist,16,,,0.0,2016
22,1073645560,kuang,qiao ting,02169,quincy,MA,internal medicine,1189,12.0,1.01,,2016
23,1073763090,weaver,cheri,02169,quincy,MA,emergency medicine,155,13.0,8.39,0.0,2016
24,1073840674,mandell,rachel,02169,quincy,MA,nurse practitioner,930,24.0,2.58,,2016
25,1083024756,ducharme,caitlin,02169,quincy,MA,physician assistant,138,24.0,17.39,0.0,2016
26,1083054001,kirtane,rohan,02169,quincy,MA,dentist,68,14.0,20.59,0.0,2016
27,1083816102,bond,david,02169,quincy,MA,physician assistant,175,,,0.0,2016
28,1093748360,mouchati,rizkalla,02169,quincy,MA,neurology,2465,0.0,0.0,0.0,2016
29,1093762734,werth,stephen,02169,quincy,MA,dermatology,1558,,,0.0,2016
30,1104093806,israel,judith,02169,quincy,MA,certified clinical nurse specialist,1144,,,0.0,2016
31,1104278167,lim,jisu,02169,quincy,MA,dentist,15,,,0.0,2016
32,1104827450,spinelli,guy,02169,quincy,MA,internal medicine,7862,310.0,3.94,77.0,2016
33,1104851435,shturman,leonid,02169,quincy,MA,cardiovascular disease (cardiology),2483,0.0,0.0,0.0,2016
