npi,nppes_provider_last_name,nppes_provider_first_name,nppes_provider_zip_code,town,nppes_provider_state,specialty_description,total_claim_count,opioid_claim_count,opioid_prescribing_rate,long-acting_opioid_claim_count,year
1003002312,hopkins,patricia,02169,quincy,MA,internal medicine,4183,495.0,11.83,99.0,2015
1003083270,kabadi,mitesh,02169,quincy,MA,cardiology,906,0.0,0.0,0.0,2015
1003291121,blair,meghan,02169,quincy,MA,nurse practitioner,45,0.0,0.0,0.0,2015
1003834433,nair,anil,02169,quincy,MA,neurology,1079,16.0,1.48,0.0,2015
1003895269,angelini,domenic,02169,quincy,MA,dentist,17,,,0.0,2015
1003992397,carolan,patricia,02169,quincy,MA,dentist,30,0.0,0.0,0.0,2015
1023007358,kenny,brian,02169,quincy,MA,internal medicine,14909,223.0,1.5,25.0,2015
1023022662,sampson,ellen,02169,quincy,MA,nurse practitioner,3807,,,0.0,2015
1023038643,kaplan,della,02169,quincy,MA,certified clinical nurse specialist,8968,,,,2015
1023074366,moss,martha,02169,quincy,MA,internal medicine,4026,144.0,3.58,28.0,2015
1023174950,gilani,ahmed,02169,quincy,MA,internal medicine,11053,36.0,0.33,,2015
1033297049,wu- young,yean,02169,quincy,MA,dentist,53,,,0.0,2015
1033519772,kaur,sukhjinder,02169,quincy,MA,dentist,86,11.0,12.79,0.0,2015
1033528195,shahbazian,cameron,02169,quincy,MA,dentist,11,,,0.0,2015
1043212541,samaha,fouad,02169,quincy,MA,plastic surgery,13,,,0.0,2015
1043229768,young,peter,02169,quincy,MA,dermatology,264,0.0,0.0,0.0,2015
1043445489,husted,alice,02169,quincy,MA,nurse practitioner,66,0.0,0.0,0.0,2015
1053377945,matfis,steven,02169,quincy,MA,internal medicine,4479,114.0,2.55,,2015
1063400349,dewire,peter,02169,quincy,MA,orthopedic surgery,170,79.0,46.47,0.0,2015
1073645560,kuang,qiao ting,02169,quincy,MA,internal medicine,2982,160.0,5.37,26.0,2015
1073763090,weaver,cheri,02169,quincy,MA,emergency medicine,134,,,0.0,2015
1073840674,mandell,rachel,02169,quincy,MA,nurse practitioner,15,0.0,0.0,0.0,2015
1083024756,ducharme,caitlin,02169,quincy,MA,physician assistant,161,35.0,21.74,0.0,2015
1083054001,kirtane,rohan,02169,quincy,MA,dentist,93,13.0,13.98,0.0,2015
1083816102,bond,david,02169,quincy,MA,physician assistant,96,,,0.0,2015
1093748360,mouchati,rizkalla,02169,quincy,MA,neurology,2356,0.0,0.0,0.0,2015
1093762734,werth,stephen,02169,quincy,MA,dermatology,1285,,,0.0,2015
1104093806,israel,judith,02169,quincy,MA,certified clinical nurse specialist,1177,0.0,0.0,0.0,2015
1104827450,spinelli,guy,02169,quincy,MA,internal medicine,6835,261.0,3.82,68.0,2015
1104851435,shturman,leonid,02169,quincy,MA,cardiology,2187,,,,2015
1104867647,pasciucco,john,02169,quincy,MA,dentist,26,,,0.0,2015
1104891134,salzman,robert,02169,quincy,MA,internal medicine,4156,156.0,3.75,0.0,2015
1114084191,broderick,genevieve,02169,quincy,MA,plastic and reconstructive surgery,123,0.0,0.0,0.0,2015
1114088051,affara,nicholas,02169,quincy,MA,dentist,14,,,0.0,2015
1114917879,fitzgerald,thomas,02169,quincy,MA,general surgery,153,49.0,32.03,,2015
1124017660,moreau,christina,02169,quincy,MA,emergency medicine,77,24.0,31.17,0.0,2015
1124182233,ney,erin,02169,quincy,MA,internal medicine,742,18.0,2.43,15.0,2015
1124271382,gorham,winna,02169,quincy,MA,dentist,141,30.0,21.28,0.0,2015
1134196033,nankin,mark,02169,quincy,MA,dentist,27,,,0.0,2015
1134301567,mishkin,danielle,02169,quincy,MA,physician assistant,219,,,0.0,2015
1134362619,ridgeway,karyn,02169,quincy,MA,emergency medicine,109,34.0,31.19,0.0,2015
1134530447,cai,thien van,02169,quincy,MA,physician assistant,26,,,0.0,2015
1144247792,chaimattayompol,nopsaran,02169,quincy,MA,dentist,12,0.0,0.0,0.0,2015
1144393208,elkadry,ekbal,02169,quincy,MA,dentist,109,13.0,11.93,0.0,2015
1154437010,wadhwani,rita,02169,quincy,MA,family practice,54,0.0,0.0,0.0,2015
1154472926,mc crory,dennis,02169,quincy,MA,psychiatry & neurology,50,0.0,0.0,0.0,2015
1154475416,hootnick,lewis,02169,quincy,MA,dentist,16,0.0,0.0,0.0,2015
1154563260,dittus,christopher,02169,quincy,MA,emergency medicine,36,,,,2015
1164617312,baird,alexis,02169,quincy,MA,nurse practitioner,440,23.0,5.23,,2015
1174509004,delgado,leyda,02169,quincy,MA,internal medicine,6258,262.0,4.19,38.0,2015
1174577928,grilli,alex,02169,quincy,MA,otolaryngology,453,23.0,5.08,0.0,2015
1174584908,mani,obli,02169,quincy,MA,internal medicine,3174,81.0,2.55,,2015
1174715957,saintelien,cyllene,02169,quincy,MA,nurse practitioner,2994,0.0,0.0,0.0,2015
1174939607,kim,min ji,02169,quincy,MA,dentist,22,,,0.0,2015
1184613192,dacey,mark,02169,quincy,MA,ophthalmology,295,,,0.0,2015
1184630857,farah,walid,02169,quincy,MA,internal medicine,4096,148.0,3.61,28.0,2015
1184692212,altman,lee,02169,quincy,MA,psychiatry,664,0.0,0.0,0.0,2015
1184714115,perlick,wynn,02169,quincy,MA,podiatry,74,12.0,16.22,0.0,2015
1184788580,hammoud,zaher,02169,quincy,MA,dentist,111,36.0,32.43,0.0,2015
1184817124,dowd,christine,02169,quincy,MA,physician assistant,94,,,,2015
1184947772,jules,marlyn,02169,quincy,MA,nurse practitioner,504,0.0,0.0,0.0,2015
1194792853,nankin,gary,02169,quincy,MA,dentist,15,0.0,0.0,0.0,2015
1194847087,bondar,stella,02169,quincy,MA,dentist,36,,,0.0,2015
1194881052,hahn,james,02169,quincy,MA,optometry,78,0.0,0.0,0.0,2015
1205039997,gordian,amparo,02169,quincy,MA,internal medicine,3945,248.0,6.29,,2015
1205884475,caruso,christian,02169,quincy,MA,internal medicine,207,23.0,11.11,,2015
1205991551,nandi,priya,02169,quincy,MA,general practice,3567,34.0,0.95,0.0,2015
1215362058,murphy,sheila,02169,quincy,MA,physician assistant,146,44.0,30.14,0.0,2015
1215926498,rizkalla,ramy,02169,quincy,MA,ophthalmology,2802,0.0,0.0,0.0,2015
1235161779,maier,irena,02169,quincy,MA,gastroenterology,738,0.0,0.0,0.0,2015
1235432501,pfeiffer,richard,02169,quincy,MA,nurse practitioner,2380,386.0,16.22,96.0,2015
1245488105,bentahar,imane,02169,quincy,MA,family practice,5070,119.0,2.35,,2015
1255321253,marquis,richard,02169,quincy,MA,internal medicine,18586,370.0,1.99,47.0,2015
1255354049,altekruse,philip,02169,quincy,MA,psychiatry & neurology,263,0.0,0.0,0.0,2015
1255360624,sikka,shobha,02169,quincy,MA,obstetrics/gynecology,111,,,0.0,2015
1255660684,pettigrew,schree,02169,quincy,MA,nurse practitioner,2274,,,0.0,2015
1275542920,nicholson,lani,02169,quincy,MA,psychiatry,2693,0.0,0.0,0.0,2015
1275571499,lotufo,david,02169,quincy,MA,ophthalmology,2859,,,0.0,2015
1275591257,hemady,zuhayr,02169,quincy,MA,pediatric medicine,243,0.0,0.0,0.0,2015
1275665135,ren,xinping,02169,quincy,MA,internal medicine,1643,146.0,8.89,17.0,2015
1285635979,drew,nancy,02169,quincy,MA,internal medicine,6508,135.0,2.07,15.0,2015
1285661652,chou,james,02169,quincy,MA,gastroenterology,832,0.0,0.0,0.0,2015
1285799726,nicklas,richard,02169,quincy,MA,physician assistant,467,45.0,9.64,,2015
1285855049,lacy,blair,02169,quincy,MA,obstetrics/gynecology,43,,,0.0,2015
1285871087,mcdonnell,mary ann,02169,quincy,MA,certified clinical nurse specialist,1816,,,0.0,2015
1295731032,gupta,alicja,02169,quincy,MA,internal medicine,270,0.0,0.0,0.0,2015
1295767721,wen,yanping,02169,quincy,MA,internal medicine,1059,0.0,0.0,0.0,2015
1295775732,reed,kenneth,02169,quincy,MA,dermatology,509,11.0,2.16,0.0,2015
1295804169,ryan,robert,02169,quincy,MA,dentist,42,0.0,0.0,0.0,2015
1306013339,kuohung,victoria,02169,quincy,MA,dermatology,114,0.0,0.0,0.0,2015
1306105283,shroff,shawn,02169,quincy,MA,internal medicine,137,0.0,0.0,0.0,2015
1306276290,straight,ashley,02169,quincy,MA,physician assistant,275,,,0.0,2015
1316090400,stevens,jane,02169,quincy,MA,nurse practitioner,37,0.0,0.0,0.0,2015
1316236532,miller,lindsay,02169,quincy,MA,obstetrics/gynecology,50,,,0.0,2015
1316999683,valente,elisa,02169,quincy,MA,gastroenterology,339,0.0,0.0,0.0,2015
1326012576,bhatti,nasir,02169,quincy,MA,internal medicine,104,,,0.0,2015
1326049065,weinberg,robert,02169,quincy,MA,internal medicine,5597,571.0,10.2,92.0,2015
1326087412,ambrus,peter,02169,quincy,MA,otolaryngology,602,23.0,3.82,0.0,2015
1326485988,barbosa,julia,02169,quincy,MA,nurse practitioner,640,42.0,6.56,,2015
1336206283,khan,saima,02169,quincy,MA,internal medicine,3799,78.0,2.05,,2015
1336241751,mehta,ankur,02169,quincy,MA,medical oncology,433,49.0,11.32,12.0,2015
1336410398,chen,jie,02169,quincy,MA,physician assistant,767,,,0.0,2015
1336558063,liu,richard,02169,quincy,MA,dentist,13,,,0.0,2015
1346239431,snebold,neal,02169,quincy,MA,ophthalmology,1911,,,0.0,2015
1346507084,xie,eileen,02169,quincy,MA,dentist,106,,,0.0,2015
1356332472,reardon,edward,02169,quincy,MA,otolaryngology,512,13.0,2.54,0.0,2015
1356332985,irons,david,02169,quincy,MA,pediatric medicine,30,0.0,0.0,0.0,2015
1356599583,spissinger,jessica,02169,quincy,MA,physician assistant,128,,,0.0,2015
1366406852,wright,paula,02169,quincy,MA,pediatric medicine,13,0.0,0.0,0.0,2015
1366433328,konowitz,paul,02169,quincy,MA,otolaryngology,223,16.0,7.17,0.0,2015
1366459588,kim,maria,02169,quincy,MA,internal medicine,578,,,,2015
1366508202,haddad,chia,02169,quincy,MA,otolaryngology,171,11.0,6.43,0.0,2015
1366773202,soares,jeffrey,02169,quincy,MA,physician assistant,454,0.0,0.0,0.0,2015
1366825838,krupski,amy,02169,quincy,MA,nurse practitioner,70,0.0,0.0,0.0,2015
1376500686,divinagracia,thomas,02169,quincy,MA,general surgery,12,,,0.0,2015
1376509703,campos,gerry,02169,quincy,MA,obstetrics/gynecology,1092,27.0,2.47,0.0,2015
1376623983,fay,rebecca,02169,quincy,MA,certified nurse midwife,14,0.0,0.0,0.0,2015
1376952697,lau,howard,02169,quincy,MA,dentist,30,,,0.0,2015
1386045557,roohi,sobia,02169,quincy,MA,dentist,21,,,0.0,2015
1386612059,goulart,anne,02169,quincy,MA,obstetrics/gynecology,41,0.0,0.0,0.0,2015
1386645679,cullinane,cynthia,02169,quincy,MA,internal medicine,7413,189.0,2.55,30.0,2015
1396889085,papajiannis,seraphim,02169,quincy,MA,internal medicine,18,0.0,0.0,0.0,2015
1396963518,finnerty,catherine,02169,quincy,MA,nurse practitioner,3158,286.0,9.06,37.0,2015
1396974812,moreira,helen,02169,quincy,MA,ophthalmology,568,0.0,0.0,0.0,2015
1407040637,matarazzo,stephen,02169,quincy,MA,dentist,33,0.0,0.0,0.0,2015
1407135577,barrett,molly,02169,quincy,MA,dentist,24,,,0.0,2015
1407808942,pozaic,susan,02169,quincy,MA,nurse practitioner,29,0.0,0.0,0.0,2015
1407857378,jenest,helen,02169,quincy,MA,nurse practitioner,326,,,0.0,2015
1407882996,shturman,milana,02169,quincy,MA,pulmonary disease,1404,0.0,0.0,0.0,2015
1407914708,skiadas,christine,02169,quincy,MA,obstetrics/gynecology,13,0.0,0.0,0.0,2015
1417066101,basile,mary ann,02169,quincy,MA,dentist,21,0.0,0.0,0.0,2015
1427047828,le,trang,02169,quincy,MA,internal medicine,3680,97.0,2.64,0.0,2015
1427056043,fung,claire,02169,quincy,MA,diagnostic radiology,129,17.0,13.18,,2015
1427059831,berrick,alan,02169,quincy,MA,cardiology,3597,71.0,1.97,12.0,2015
1427070036,evans,james,02169,quincy,MA,psychiatry,240,,,0.0,2015
1437138716,kaleli,adnan,02169,quincy,MA,urology,522,,,0.0,2015
1437145034,chao,cindy,02169,quincy,MA,ophthalmology,1462,,,0.0,2015
1437262128,lam,helene,02169,quincy,MA,ophthalmology,12,0.0,0.0,0.0,2015
1437447182,shawki,sarah,02169,quincy,MA,obstetrics/gynecology,30,,,0.0,2015
1447205265,dabuzhsky,leonid,02169,quincy,MA,orthopedic surgery,89,46.0,51.69,0.0,2015
1447212972,lustbader,david,02169,quincy,MA,oral surgery (dentists only),267,36.0,13.48,0.0,2015
1447260138,bonner,margaret,02169,quincy,MA,certified clinical nurse specialist,97,,,0.0,2015
1457340671,lee,suo,02169,quincy,MA,internal medicine,2653,56.0,2.11,12.0,2015
1457405623,taylor,jennifer,02169,quincy,MA,dentist,189,49.0,25.93,0.0,2015
1457491920,healey,allison,02169,quincy,MA,physician assistant,27,,,0.0,2015
1457768889,khandelwal,kanika,02169,quincy,MA,internal medicine,38,,,0.0,2015
1467427484,ducach,george,02169,quincy,MA,podiatry,157,14.0,8.92,0.0,2015
1467442186,dragone,anthony,02169,quincy,MA,general surgery,313,63.0,20.13,0.0,2015
1467443861,mulkern,john,02169,quincy,MA,family practice,1091,58.0,5.32,,2015
1467459321,barthold,harold,02169,quincy,MA,radiation oncology,65,11.0,16.92,,2015
1477554251,nielsen,steven,02169,quincy,MA,ophthalmology,2696,,,0.0,2015
1477565034,kadesh,jeffrey,02169,quincy,MA,dentist,42,,,0.0,2015
1487063905,kanthan,riti,02169,quincy,MA,dentist,20,,,0.0,2015
1487613576,dunn,hazel,02169,quincy,MA,nurse practitioner,742,19.0,2.56,0.0,2015
1487642732,gupta,shuchi,02169,quincy,MA,family practice,1959,86.0,4.39,0.0,2015
1487707428,wessman,stacey,02169,quincy,MA,obstetrics/gynecology,71,,,0.0,2015
1487894614,callahan,margaret,02169,quincy,MA,certified clinical nurse specialist,1768,0.0,0.0,0.0,2015
1487961801,qian,mary,02169,quincy,MA,dentist,22,,,0.0,2015
1497705065,tarpy,stephen,02169,quincy,MA,pulmonary disease,6223,170.0,2.73,,2015
1497746507,friedensohn,peter,02169,quincy,MA,otolaryngology,390,,,0.0,2015
1497806749,evanchuk,darren,02169,quincy,MA,hematology/oncology,481,82.0,17.05,30.0,2015
1497913826,namiranian,mandana,02169,quincy,MA,otolaryngology,898,,,0.0,2015
1508000803,kullak,jaime,02169,quincy,MA,nurse practitioner,40,,,0.0,2015
1508054248,shukla,anita,02169,quincy,MA,ophthalmology,1123,,,0.0,2015
1508872946,kim,simon,02169,quincy,MA,internal medicine,18,0.0,0.0,0.0,2015
1508875956,dubin,stephen,02169,quincy,MA,psychiatry,2711,16.0,0.59,0.0,2015
1518030550,sapak,jan,02169,quincy,MA,dentist,26,0.0,0.0,0.0,2015
1518158591,abboud,carlos,02169,quincy,MA,dentist,728,161.0,22.12,0.0,2015
1518261718,hovaizi,neda,02169,quincy,MA,dentist,53,,,0.0,2015
1518267525,le,xuan khanh,02169,quincy,MA,dentist,34,,,0.0,2015
1518956051,dart,robert,02169,quincy,MA,emergency medicine,304,81.0,26.64,0.0,2015
1528402070,morse,michelle,02169,quincy,MA,podiatry,15,,,,2015
1538134564,pressberg,robert,02169,quincy,MA,cardiology,2085,27.0,1.29,,2015
1538159579,o'keefe,deborah,02169,quincy,MA,internal medicine,11664,520.0,4.46,91.0,2015
1538160684,mullen,cecilia,02169,quincy,MA,nurse practitioner,537,20.0,3.72,0.0,2015
1538257704,lordan,barbara,02169,quincy,MA,nurse practitioner,151,42.0,27.81,,2015
1538262761,jian seyedahmadi,babak,02169,quincy,MA,ophthalmology,342,,,0.0,2015
1548235583,schwartz,charles,02169,quincy,MA,gastroenterology,488,0.0,0.0,0.0,2015
1548290653,garber,robert,02169,quincy,MA,oral surgery (dentists only),194,95.0,48.97,0.0,2015
1548321235,lozada,italo,02169,quincy,MA,dentist,1094,275.0,25.14,0.0,2015
1558583583,pavlicic,katarina,02169,quincy,MA,dentist,46,,,0.0,2015
1568419356,call,brigida,02169,quincy,MA,internal medicine,5793,185.0,3.19,23.0,2015
1568456291,borodic,gary,02169,quincy,MA,ophthalmology,942,,,0.0,2015
1568463990,hoernle,nils,02169,quincy,MA,internal medicine,2135,17.0,0.8,0.0,2015
1568601078,brown,margaret,02169,quincy,MA,nurse practitioner,3106,324.0,10.43,43.0,2015
1588646061,dobroski,david,02169,quincy,MA,internal medicine,619,,,0.0,2015
1588652093,anderson,mark,02169,quincy,MA,hematology/oncology,568,91.0,16.02,24.0,2015
1598001984,hufnagle,lauren,02169,quincy,MA,physician assistant,50,12.0,24.0,0.0,2015
1598773426,dolan,carolyn,02169,quincy,MA,nurse practitioner,996,123.0,12.35,19.0,2015
1598839912,brustin,steven,02169,quincy,MA,dentist,39,,,0.0,2015
1609003102,chaparro rincon,andres,02169,quincy,MA,psychiatry,334,0.0,0.0,0.0,2015
1609805951,mazzaferro,richard,02169,quincy,MA,physical medicine and rehabilitation,91,32.0,35.16,0.0,2015
1609859990,strazzulla,domenic,02169,quincy,MA,ophthalmology,3838,,,0.0,2015
1609915107,freedman,mark,02169,quincy,MA,physician assistant,224,,,0.0,2015
1619902772,lawrence,sheila,02169,quincy,MA,internal medicine,2364,73.0,3.09,,2015
1629003686,mccarthy,elise bilodeau,02169,quincy,MA,dermatology,247,,,0.0,2015
1629046016,saliba,nicolas,02169,quincy,MA,obstetrics/gynecology,91,,,0.0,2015
1629209135,salvucci,caitrin,02169,quincy,MA,nurse practitioner,397,0.0,0.0,0.0,2015
1629251749,champion,craig,02169,quincy,MA,obstetrics/gynecology,183,12.0,6.56,0.0,2015
1629394101,lawson,sarah,02169,quincy,MA,emergency medicine,109,17.0,15.6,0.0,2015
1629457346,shu,timothy,02169,quincy,MA,dentist,23,,,0.0,2015
1639168172,mcelroy,stephen,02169,quincy,MA,emergency medicine,166,55.0,33.13,0.0,2015
1639168719,pareja,jaime,02169,quincy,MA,pulmonary disease,1265,12.0,0.95,0.0,2015
1639180037,holte,kristin,02169,quincy,MA,registered nurse,100,16.0,16.0,0.0,2015
1639194947,reiner,richard,02169,quincy,MA,psychiatry,7746,0.0,0.0,0.0,2015
1639195225,jodoin,dennis,02169,quincy,MA,dentist,362,,,0.0,2015
1639208812,zonis,melvin,02169,quincy,MA,pediatric medicine,11,0.0,0.0,0.0,2015
1649278136,heemstra,valerie,02169,quincy,MA,family practice,774,0.0,0.0,0.0,2015
1649295957,sinar,kathleen,02169,quincy,MA,certified clinical nurse specialist,3286,0.0,0.0,0.0,2015
1649430422,yang,yi,02169,quincy,MA,dentist,336,20.0,5.95,0.0,2015
1659360899,mckee,shelley,02169,quincy,MA,ophthalmology,1219,0.0,0.0,0.0,2015
1659372787,goldin,dennis,02169,quincy,MA,internal medicine,5887,138.0,2.34,,2015
1659621795,walsh,maureen,02169,quincy,MA,nurse practitioner,11,0.0,0.0,0.0,2015
1659641355,bollineni,mohini,02169,quincy,MA,internal medicine,138,,,0.0,2015
1669461786,wasson,paul,02169,quincy,MA,ophthalmology,3343,0.0,0.0,0.0,2015
1669473955,black,richard,02169,quincy,MA,internal medicine,7420,172.0,2.32,16.0,2015
1669598413,thomas,maryanne,02169,quincy,MA,dentist,24,0.0,0.0,0.0,2015
1669865507,flanagan,rhianna,02169,quincy,MA,physician assistant,120,,,0.0,2015
1679536981,richardson,michelle,02169,quincy,MA,pediatric medicine,41,0.0,0.0,0.0,2015
1679569321,larocca,vito,02169,quincy,MA,ophthalmology,162,,,0.0,2015
1689643108,serino,gillian,02169,quincy,MA,nurse practitioner,343,36.0,10.5,,2015
1699742643,metzger,amanda,02169,quincy,MA,obstetrics/gynecology,201,,,0.0,2015
1699758896,musto,paul,02169,quincy,MA,hematology/oncology,477,42.0,8.81,,2015
1699759910,gales,george,02169,quincy,MA,internal medicine,4133,258.0,6.24,24.0,2015
1699762740,miller,barry,02169,quincy,MA,internal medicine,108,0.0,0.0,0.0,2015
1699765396,stejna,jessica,02169,quincy,MA,optometry,37,0.0,0.0,0.0,2015
1710976840,carroll,john,02169,quincy,MA,ophthalmology,16,0.0,0.0,0.0,2015
1720013725,kahn,steven,02169,quincy,MA,dermatology,31,0.0,0.0,0.0,2015
1720089683,green,marilyn,02169,quincy,MA,nurse practitioner,65,,,0.0,2015
1720201965,giordani,sharon,02169,quincy,MA,nurse practitioner,260,19.0,7.31,,2015
1720263734,lau,kayao,02169,quincy,MA,nurse practitioner,404,42.0,10.4,,2015
1730194226,gogstetter,darin,02169,quincy,MA,dermatology,204,0.0,0.0,0.0,2015
1730258203,skerrett-parker,desry,02169,quincy,MA,nurse practitioner,1669,0.0,0.0,0.0,2015
1730474826,lamour,isabel,02169,quincy,MA,internal medicine,267,22.0,8.24,0.0,2015
1730527474,deschrijver,antoin,02169,quincy,MA,physician assistant,936,,,0.0,2015
1740219195,accardi,alexandra,02169,quincy,MA,psychiatry,5727,,,,2015
1740270693,weinhaus,richard,02169,quincy,MA,ophthalmology,196,,,,2015
1740279991,oates,dale,02169,quincy,MA,ophthalmology,4069,,,0.0,2015
1740486406,gee,annie,02169,quincy,MA,physician assistant,119,,,0.0,2015
1750399374,lin,chien,02169,quincy,MA,internal medicine,2089,44.0,2.11,0.0,2015
1750479739,kayali,mohamed,02169,quincy,MA,dentist,64,,,0.0,2015
1760415509,shea,victoria,02169,quincy,MA,psychiatry,2821,0.0,0.0,0.0,2015
1760417778,glynn,donna,02169,quincy,MA,nurse practitioner,1345,28.0,2.08,,2015
1760533061,gu,michael,02169,quincy,MA,oral surgery (dentists only),122,52.0,42.62,,2015
1760576250,abdulwaheed,abdullaibrahim,02169,quincy,MA,dentist,16,,,0.0,2015
1760804603,mamakos,maria,02169,quincy,MA,nurse practitioner,297,14.0,4.71,,2015
1770551442,rich,luanne,02169,quincy,MA,obstetrics/gynecology,213,,,0.0,2015
1770753022,jacobs,jeanne,02169,quincy,MA,physician assistant,66,,,0.0,2015
1770984676,witwit,dhafar,02169,quincy,MA,dentist,127,24.0,18.9,0.0,2015
1780005710,fischer,lindsay,02169,quincy,MA,nurse practitioner,72,13.0,18.06,0.0,2015
1780644534,ho,simon,02169,quincy,MA,internal medicine,3339,338.0,10.12,41.0,2015
1780683276,baig,mirza,02169,quincy,MA,internal medicine,3014,103.0,3.42,,2015
1780733865,kavanagh,shelagh,02169,quincy,MA,dentist,49,0.0,0.0,0.0,2015
1790013910,stackpoole,mari,02169,quincy,MA,nurse practitioner,22,0.0,0.0,0.0,2015
1790121259,patel,neha,02169,quincy,MA,dentist,18,,,0.0,2015
1801048921,o'brien,katie,02169,quincy,MA,nurse practitioner,462,,,0.0,2015
1801208681,ma,susan,02169,quincy,MA,dentist,21,,,0.0,2015
1801822564,mishkin,daniel,02169,quincy,MA,gastroenterology,393,0.0,0.0,0.0,2015
1801879002,may,sarah,02169,quincy,MA,hematology/oncology,651,61.0,9.37,17.0,2015
1811985633,ostrem,mark,02169,quincy,MA,internal medicine,18721,484.0,2.59,78.0,2015
1811986060,mandeville,john,02169,quincy,MA,ophthalmology,1264,96.0,7.59,0.0,2015
